community_name,issue_id,title,body,issue_url,assignee,label,creator,comments,created_at
openeuler/A-Ops,I3J0A3,智能解析引擎所用到的正则库pygrok依赖于正则库python-regex,"<!-- #请根据issue的类型在标题右侧下拉框中选择对应的选项（需求、缺陷或CVE等）-->
<!-- #请根据issue相关的版本在里程碑中选择对应的节点，若是与版本无关，请选择“不关联里程碑”-->",https://gitee.com/openeuler/A-Ops/issues/I3J0A3,None,[],cloudyyy1234,2,2021-04-15 17:33:44
openeuler/A-Tune,I17TPX,suggest to provide English version README,It's better to provide both English and Chinese version README and documents. ,https://gitee.com/openeuler/A-Tune/issues/I17TPX,shanshishi,['kind/documentation'],myeuler,4,2020-01-04 13:13:31
openeuler/A-Tune,I189DD,效果如何,请问这个基于AI的自调优工具现在效果怎么样，另外这个应该也算是OS领域的AIOPS，那么AIOPS领域的通用问题都是怎么解决的，比如实时性，泛化能力，可信，自身运维等。,https://gitee.com/openeuler/A-Tune/issues/I189DD,xiezhipeng1,[],sinever,4,2020-01-12 01:36:50
openeuler/A-Tune,I18E7N,workload_characterization.py代码bug,"A-Tune/analysis/optimizer/workload_characterization.py中第287行应为resourcelimit = ""cpu,network""，表示cpu和network密集型。",https://gitee.com/openeuler/A-Tune/issues/I18E7N,hanxinke,[],weiking6,2,2020-01-14 21:00:05
openeuler/A-Tune,I1CO4A,Benchmark有多个evaluation的情况，如何计算目标函数,"1. 当benchmark有多个evaluation的时候，感觉计算y的时候，代码中没有考虑weight， def object(var)里只是单纯的把多个evaluation的值，做了累加
![输入图片说明](https://images.gitee.com/uploads/images/2020/0326/094517_c91f74e1_1007663.jpeg ""01_evaluation.jpg"")

2. example-client.yaml文件中，多个evaluation的weight，是不是要校验多个eval的和为100，比如我故意写错了一个为100，一个为80
![输入图片说明](https://images.gitee.com/uploads/images/2020/0326/094652_1408a2ce_1007663.png ""02_eval.png"")
",https://gitee.com/openeuler/A-Tune/issues/I1CO4A,hanxinke,[],wangwulin,2,2020-03-26 09:47:08
openeuler/A-Tune,I1CQ6B,Please upgrade the license from Mulan PSL v1 to v2,https://mailweb.openeuler.org/hyperkitty/list/community@openeuler.org/thread/EQORD5OS4F7YCFLBMIVWC5KU242DWEIG/,https://gitee.com/openeuler/A-Tune/issues/I1CQ6B,None,[],zerodefect,1,2020-03-26 16:22:59
openeuler/A-Tune,I1D5HP,错误提示信息单词拼写错误,"**这是一个bug还是新特性?**:

> 以下两者二选一，请保留一项: 
> - bug

**发生结果**:
train命令训练模型出错，提示“training data faild”。

**期望结果**:
train命令训练模型出错，提示“training data failed”。

这里的提示信息单词拼写错误，应该为 failed 


**补充说明?**:

**环境情况**:
- 版本: openEuler 20.03 LTS
- 操作系统版本 (e.g. from /etc/os-release):
- 内核版本 (e.g. `uname -a`):
- 其它:
",https://gitee.com/openeuler/A-Tune/issues/I1D5HP,hanxinke,[],amy_mayun,3,2020-03-31 10:08:21
openeuler/A-Tune,I1E4EA,atune-adm  analysis时模型导入出错【joblib.load(cpu_clf.m)】,"我们在对工具的analysis功能做测试时，发现系统空闲时会正常返回default分类
但是cpu负载较高时，self.labelling(data)返回的初步分类向量为【1,0,0,0】
但是在做二次分类确认时即运行到下面这段代码时
            resourcelimit = ""cpu""
            scaler = joblib.load(cpu_scaler)
            data = scaler.transform(data)
### **model = joblib.load(cpu_clf)** 
            result = model.predict(data)
报错，大致是模型与xgboost版本不一致，无法导入，详细信息如下：
2020-04-10 15:05:02,338 [ERROR] app[line:1892] : Exception on /v1/classification [POST]#012Traceback (most recent call last):#012
  File ""/usr/local/lib/python3.7/site-packages/flask/app.py"", line 1950, in full_dispatch_request#012    rv = self.dispatch_request()#012
  File ""/usr/local/lib/python3.7/site-packages/flask/app.py"", line 1936, in dispatch_request#012    return self.view_functions[rule.endpoint](**req.view_args)#012
  File ""/usr/local/lib/python3.7/site-packages/flask_restful/__init__.py"", line 468, in wrapper#012    resp = resource(*args, **kwargs)#012
  File ""/usr/local/lib/python3.7/site-packages/flask/views.py"", line 89, in view#012    return self.dispatch_request(*args, **kwargs)#012
  File ""/usr/local/lib/python3.7/site-packages/flask_restful/__init__.py"", line 583, in dispatch_request#012    resp = meth(*args, **kwargs)#012
  File ""/usr/local/lib/python3.7/site-packages/flask_restful/__init__.py"", line 710, in wrapper#012    resp = f(*args, **kwargs)#012
  File ""/usr/libexec/atuned/analysis/../analysis/resources/classification.py"", line 54, in post#012    resource_limit, workload_type, percentage = classification.identify(data)#012
  File ""/usr/libexec/atuned/analysis/../analysis/optimizer/workload_characterization.py"", line 280, in identify#012    model = joblib.load(cpu_clf)#012
  File ""/usr/local/lib/python3.7/site-packages/joblib/numpy_pickle.py"", line 605, in load#012    obj = _unpickle(fobj, filename, mmap_mode)#012
  File ""/usr/local/lib/python3.7/site-packages/joblib/numpy_pickle.py"", line 529, in _unpickle#012    obj = unpickler.load()#012
  File ""/usr/lib64/python3.7/pickle.py"", line 1088, in load#012    dispatch[key[0]](self)#012
  File ""/usr/local/lib/python3.7/site-packages/joblib/numpy_pickle.py"", line 342, in load_build#012    Unpickler.load_build(self)#012
  File ""/usr/lib64/python3.7/pickle.py"", line 1552, in load_build#012    setstate(state)#012
  File ""/usr/local/lib/python3.7/site-packages/xgboost/core.py"", line 1094, in __setstate__#012    _LIB.XGBoosterUnserializeFromBuffer(handle, ptr, length))#012
  File ""/usr/local/lib/python3.7/site-packages/xgboost/core.py"", line 189, in _check_call
  #012    raise XGBoostError(py_str(_LIB.XGBGetLastError()))
  #012xgboost.core.XGBoostError: [15:05:02] /workspace/src/learner.cc:682: Check failed: header == serialisation_header_: 
  #012
  #012  If you are loading a serialized model (like pickle in Python) generated by older
  #012  XGBoost, please export the model by calling `Booster.save_model` from that version
  #012  first, then load it back in current version.  There's a simple script for helping
  #012  the process. See:
  #012
  #012    https://xgboost.readthedocs.io/en/latest/tutorials/saving_model.html
  #012
  #012  for reference to the script, and more details about differences between saving model and
  #012  serializing.
  #012
  #012
  #012Stack trace:
  #012  
      [bt] (0) /usr/local/lib/python3.7/site-packages/xgboost/./lib/libxgboost.so(dmlc::LogMessageFatal::~LogMessageFatal()+0x54) [0x7fa7c011f614]#012  
      [bt] (1) /usr/local/lib/python3.7/site-packages/xgboost/./lib/libxgboost.so(xgboost::LearnerImpl::Load(dmlc::Stream*)+0x661) [0x7fa7c0211c71]#012  
      [bt] (2) /usr/local/lib/python3.7/site-packages/xgboost/./lib/libxgboost.so(XGBoosterUnserializeFromBuffer+0x4e) [0x7fa7c010f8be]#012  
      [bt] (3) /lib64/libffi.so.7(+0x6f2d) [0x7fa7e37eef2d]#012  
      [bt] (4) /lib64/libffi.so.7(+0x647f) [0x7fa7e37ee47f]#012  
      [bt] (5) /usr/lib64/python3.7/lib-dynload/_ctypes.cpython-37m-x86_64-linux-gnu.so(_ctypes_callproc+0x6f4) [0x7fa7e380fad4]#012  
      [bt] (6) /usr/lib64/python3.7/lib-dynload/_ctypes.cpython-37m-x86_64-linux-gnu.so(+0xd633) [0x7fa7e380c633]#012  
      [bt] (7) /lib64/libpython3.7m.so.1.0(_PyObject_FastCallKeywords+0x97) [0x7fa7fc170977]#012  
      [bt] (8) /lib64/libpython3.7m.so.1.0(_PyEval_EvalFrameDefault+0x5999) [0x7fa7fc1f8d69]
",https://gitee.com/openeuler/A-Tune/issues/I1E4EA,hanxinke,[],hnsyny_49804716,4,2020-04-10 17:00:36
openeuler/A-Tune,I1E68F,atune-adm analysis时模型导入出错【joblib.load(net_clf.m、cpunet_clf.m)】,"做网络服务压力测试的时候，使用atune-adm analysis
如果是单次返回数据流量很少，20字节左右，被识别为：in-memory_database ；
如果单次返回较大数据量，测试时使用的是10167字节，则被初步判定为cpu-net-intensive，但是精确判定时出错；
如果单次返回数据达到11M，且降低ab并发数则被判定为network-intensive，但是精确判定时同样出错，错误与上述cpu-net-intensive一致

报错信息如下：
File ""/usr/libexec/atuned/analysis/../analysis/optimizer/workload_characterization.py"", line 274, in identify#012    result = model.predict(data)#012  
File ""/usr/local/lib64/python3.7/site-packages/sklearn/svm/_base.py"", line 585, in predict#012    if self.break_ties and self.decision_function_shape == 'ovo':#012AttributeError: 'SVC' object has no attribute 'break_ties'",https://gitee.com/openeuler/A-Tune/issues/I1E68F,hanxinke,[],hnsyny_49804716,3,2020-04-11 11:29:53
openeuler/A-Tune,I1E76D,https://gitee.com/openeuler/community/tree/master/sig/A-Tune,please fill enough info for SIG portal. ,https://gitee.com/openeuler/A-Tune/issues/I1E76D,xiezhipeng1,[],myeuler,2,2020-04-11 16:17:08
openeuler/A-Tune,I1ECUP,能否在源码中提供基础训练数据集,我们想优化一下判定模型，但是样本数据很少，项目组能否将训练出那几个基础模型【*clu.m，*clf.m】的训练数据一并附在源码中？,https://gitee.com/openeuler/A-Tune/issues/I1ECUP,shanshishi,[],hnsyny_49804716,2,2020-04-13 14:15:07
openeuler/A-Tune,I1EGJV,能否提供博文和直播课程地址？,"openEuler周会上提到， 策划了博文和直播课程，并且标记状态为YES， 能否提供地址？
![博文和直播课程](https://images.gitee.com/uploads/images/2020/0414/120008_c80287ef_7345884.png ""Screenshot_2020-03-25_at_11.55.08_AM.png"")
",https://gitee.com/openeuler/A-Tune/issues/I1EGJV,shanshishi,[],zhangmiao_iscas,3,2020-04-14 12:01:10
openeuler/A-Tune,I1ENJ6,关于当前负载类型识别的缺陷,"我在做整体负载类型测试时发现，A-tune在4核8G的X86欧拉虚拟机上能比较准确的反映当前机器的负载类型，但是在迁移到64核256G内存的服务器【类centos系统非Euler系统】上测试时发现极大概率会被识别为big-database【单cpu或io高，应用使用内存极小】，单纯网络高会被识别为in-memory_database，与实际情况并不相符。
我猜测这种情况与服务器内存较大所以使用了相当多内存作为os缓存【测试机器是14G】，而在查看AI相关部分源代码时发现训练和推理时均【未对采样数据做归一化处理】，从而使得采样被模型误判。

建议在训练和推理时增加归一化处理，防止移植到不同配置服务器时的误判；另外我看现在的源码都只是简单的对所有采样到的数据分别进行分类再取标签数最多的那个【且超过50%】为最后识别结果，这样似乎并不能反映服务器的性能曲线抖动，建议将多条采样做二维化合并，通过2-3层CNN做性能指数纵向上的特征提取，因为我手头测试样本太少，暂时不能自己进行试验。

【补充说明】
因为手头没有鲲鹏920cpu，所以我修改了perf-cpu和perf-mem相关采样，我的测试结果跟这个有没有关系还不得而知，但是个人感觉似乎并没有太大影响，因为虚拟机也并非鲲鹏920cou，模型的识别结果还算靠谱。",https://gitee.com/openeuler/A-Tune/issues/I1ENJ6,hanxinke,[],hnsyny_49804716,2,2020-04-16 10:22:05
openeuler/A-Tune,I1IN7R,ATune能否支持微服务等云场景的调优？,"我们当前的业务类似于[DeathStarBench/socialNetwork](https://github.com/delimitrou/DeathStarBench/tree/master/socialNetwork)这类微服务，我们使用ATune进行修改调优的时候，选择的系统参数看不到调优效果，而且ATune也无法识别当前的业务场景。
请问，ATune可否支持云场景的识别和调优，多谢。
@xiezhipeng1 @hanxinke @openeuler-ci-bot 

",https://gitee.com/openeuler/A-Tune/issues/I1IN7R,xiezhipeng1,[],wangwulin,2,2020-05-28 09:34:18
openeuler/A-Tune,I1IWV7,atune 服务启动失败,"/var/run/atuned/atuned.sock: bind: no such file or directory
The unit atuned.service has entered the 'failed' state with result 'exit-code

检查/etc/hosts，文件内存在localhost。

内核版本：4.19.90-2003.4.0.0036.oe1.aarch64
/etc/atuned/atuned.cnf未修改

安装方式 yum install -y atune ",https://gitee.com/openeuler/A-Tune/issues/I1IWV7,hanxinke,[],merlinlee,3,2020-05-30 14:28:18
openeuler/A-Tune,I1KR52,set memory failed when analysis default workload,"analysis后设置static profile时报错, 如下 


```
 2. Current System Workload Characterization is default 
 
 3. Build the best resource model... 
 
 4. Match profile: default 
 
 5. bengin to set static profile 
 [ FAILED ] memory                                   memory num is 12, not recommend, recommand 8,16 or 32 
```

对比代码发现, 这似乎应该是一处suggest
但是结果却是用红色FAILED显示CPI过程失败
",https://gitee.com/openeuler/A-Tune/issues/I1KR52,hanxinke,[],zhangmiao_iscas,2,2020-06-16 11:32:06
openeuler/A-Tune,I1MIT0,优化配置的参数是否会根据系统自适应?,"init.sql中, 针对每种workload type都设置了dafault的优化配置
analysis过程中, 数据采集, 确定workload后, 需要set static profile
针对不同的硬件配置(CPU, memory), 采用相同的默认的优化配置, 还是会进行一定的自适应?",https://gitee.com/openeuler/A-Tune/issues/I1MIT0,shanshishi,[],zhangmiao_iscas,2,2020-07-03 08:50:17
openeuler/A-Tune,I1O28D,贝叶斯调优算法越来越慢,随着迭代次数的增加，贝叶斯调优算法在寻找下一次配置时候所需要的时间越来越多，导致调优越来越慢,https://gitee.com/openeuler/A-Tune/issues/I1O28D,smcopen,[],smcopen,2,2020-07-16 16:36:09
openeuler/A-Tune,I1O3E5,The atune-engine should be separated. ,The atune-engine should be separated from the atune and is packed into an independent RPM package. ,https://gitee.com/openeuler/A-Tune/issues/I1O3E5,None,[],xiezhipeng1,2,2020-07-16 19:41:46
openeuler/A-Tune,I1O3EV,The tuning command output improvement,"Current tuning command output is kind of boring, I want to be able to display the current progress and tuning effects. Some output like:
Used time: xs, Best Performance: x, Performance Improvement Rate: xx%",https://gitee.com/openeuler/A-Tune/issues/I1O3EV,xiezhipeng1,[],xiezhipeng1,2,2020-07-16 19:54:41
openeuler/A-Tune,I1O3HA,support build when GO111MODULE=on,build with GO111MODULE=off will be deprecated,https://gitee.com/openeuler/A-Tune/issues/I1O3HA,xiezhipeng1,[],xiezhipeng1,2,2020-07-16 20:21:03
