Topic_40_20
"(0, '0.244*""openEuler"" + 0.127*""支持"" + 0.054*""20.09"" + 0.046*""增加"" + 0.040*""虚拟化"" + 0.026*""新增"" + 0.026*""20.03-LTS"" + 0.020*""组件"" + 0.020*""选择"" + 0.018*""功能"" + 0.016*""特性"" + 0.015*""列表"" + 0.013*""场景"" + 0.012*""集成"" + 0.008*""考虑"" + 0.008*""页面"" + 0.008*""基础"" + 0.007*""vmtop"" + 0.007*""虚拟机"" + 0.006*""跟踪""')"
"(1, '0.096*""创建"" + 0.066*""/"" + 0.033*""服务器"" + 0.032*""直接"" + 0.028*""命名"" + 0.027*""ARM"" + 0.027*""发现"" + 0.022*""调用"" + 0.020*""定义"" + 0.020*""root"" + 0.019*""openEuler-20.03-LTS-SP1"" + 0.016*""触发"" + 0.016*""value"" + 0.015*""stratovirt"" + 0.014*""去掉"" + 0.012*""并发"" + 0.012*""website"" + 0.011*""run"" + 0.011*""fuse"" + 0.011*""函数""')"
"(2, '0.170*""分析"" + 0.155*""是否"" + 0.096*""必须"" + 0.056*""请"" + 0.056*""Update"" + 0.044*""同步"" + 0.038*""目录"" + 0.033*""解决"" + 0.023*""重复"" + 0.017*""打包"" + 0.010*""手动"" + 0.008*""大小"" + 0.008*""community"" + 0.007*""grpc"" + 0.006*""放到"" + 0.006*""type"" + 0.005*""OpenEuler"" + 0.004*""github"" + 0.004*""IO"" + 0.004*""溢出""')"
"(3, '0.096*""openeuler"" + 0.051*""源"" + 0.044*""delete"" + 0.042*""make"" + 0.035*""需求"" + 0.035*""fix"" + 0.032*""变更"" + 0.032*""实现"" + 0.022*""码"" + 0.021*""驱动"" + 0.020*""字段"" + 0.017*""要求"" + 0.017*""生态"" + 0.016*""标签"" + 0.009*""分钟"" + 0.008*""driver"" + 0.007*""openEuler-"" + 0.006*""类似"" + 0.006*""调度"" + 0.006*""https""')"
"(4, '0.144*""新"" + 0.105*""代码"" + 0.093*""修改"" + 0.069*""提交"" + 0.049*""请"" + 0.044*""内容"" + 0.029*""mainline"" + 0.028*""自动"" + 0.022*""PR"" + 0.016*""扫描"" + 0.016*""review"" + 0.014*""合入"" + 0.013*""打开"" + 0.012*""使用"" + 0.010*""有误"" + 0.010*""命令行"" + 0.008*""重新"" + 0.008*""fail"" + 0.008*""名"" + 0.007*""firewalld""')"
"(5, '0.120*""release"" + 0.070*""（"" + 0.069*""）"" + 0.018*""开源"" + 0.017*""讨论"" + 0.017*""&"" + 0.016*""未知"" + 0.014*""Need"" + 0.013*""OS-"" + 0.012*""页"" + 0.012*""Fix"" + 0.012*""号"" + 0.010*""pull"" + 0.010*""CLA"" + 0.010*""everything"" + 0.009*""刷新"" + 0.007*""文字"" + 0.007*""cmake"" + 0.007*""loop"" + 0.007*""云""')"
"(6, '0.685*""CVE"" + 0.028*""help"" + 0.013*""分区"" + 0.010*""检测"" + 0.009*""bugfix"" + 0.009*""cpu"" + 0.007*""关键"" + 0.006*""例会"" + 0.006*""open"" + 0.005*""src-openEuler"" + 0.005*""请求"" + 0.004*""get"" + 0.004*""python-pillow"" + 0.003*""runc"" + 0.003*""LTS-Next"" + 0.003*""过滤"" + 0.003*""变化"" + 0.003*""container"" + 0.002*""重"" + 0.002*""Java-sig""')"
"(7, '0.362*""版本"" + 0.356*""升级"" + 0.079*""分支"" + 0.048*""需要"" + 0.041*""master"" + 0.005*""帮助"" + 0.004*""1.1"" + 0.002*""可信"" + 0.002*""建仓"" + 0.002*""LTS-SP1"" + 0.002*""屏"" + 0.002*""代码仓"" + 0.001*""maintainer"" + 0.001*""adding"" + 0.001*""加速"" + 0.001*""黑"" + 0.001*""声明"" + 0.001*""20.03:LTS"" + 0.001*""测"" + 0.000*""radvd""')"
"(8, '0.344*""may"" + 0.025*""格式"" + 0.024*""架构"" + 0.020*""后缀"" + 0.017*""bug"" + 0.016*""规范"" + 0.015*""list"" + 0.012*""校验"" + 0.011*""provide"" + 0.011*""free"" + 0.009*""name"" + 0.009*""java"" + 0.008*""硬件"" + 0.008*""相同"" + 0.007*""runtime"" + 0.007*""采用"" + 0.007*""use"" + 0.006*""tarball"" + 0.006*""拼写"" + 0.006*""自测""')"
"(9, '0.104*""删除"" + 0.088*""加固"" + 0.051*""check"" + 0.042*""门禁"" + 0.033*""查看"" + 0.032*""对应"" + 0.024*""返回"" + 0.021*""OBS"" + 0.020*""官网"" + 0.019*""值"" + 0.018*""加载"" + 0.018*""统一"" + 0.016*""指南"" + 0.015*""CI"" + 0.013*""ssh"" + 0.013*""规则"" + 0.011*""daemon"" + 0.011*""资源"" + 0.009*""应"" + 0.008*""上传""')"
