,user_name,user_sig
0,AlexZ11,"['Application', 'Programming-language', 'Private']"
1,Anonymous_Z,"['Private', 'sig-OS-Builder']"
2,Au_Aviel,['Private']
3,BenchMarkFather,['Private']
4,Charlie_Li,"['Programming-language', 'Runtime', 'System-tool']"
5,Charlie_li,['Private']
6,Chuan-Zheng,['Virt']
7,Classicriver_jia,['Private']
8,Clergy97,['Private']
9,Clerk_duan,['Private']
10,Gongchen,['sig-ops']
11,Grooooot,['Private']
12,HuaxinLuGitee,['sig-nodejs']
13,HukunaMatata,['Private']
14,Jacean,['sig-OpenResty']
15,Kenneth-Lee-2012,['sig-WayCa']
16,KeyboardXia,['Private']
17,LemmyHuang,['sig-high-performance-network']
18,MrRlu,"['sig-ops', 'Networking', 'sig-high-performance-network']"
19,RickyZ5351,['Private']
20,Ronnie_Jiang,"['TC', 'sig-recycle', 'sig-release-management']"
21,RootWB,['Virt']
22,Rudy_Tan,['doc']
23,Shaojie-Zhang,['sig-bio']
24,Shinwell_Hu,"['sig-cms', 'sig-perl-modules', 'sig-python-modules']"
25,SupMario,['Private']
26,SuperSix173,['Computing']
27,TommyLike,"['Infrastructure', 'sig-Gatekeeper']"
28,TrueAI,['sig-DyscheOS']
29,Yika,['Private']
30,ZhengZhenyu,"['DB', 'sig-ai-bigdata']"
31,ZhengyuhangHans,['sig-Community']
32,air9,['Private']
33,alec-z,['sig-compliance']
34,algorithmofdish,"['Programming-language', 'Private']"
35,allesgute,"['Marketing', 'user-committee']"
36,amy_Mayun,['doc']
37,anchuanxu,['sig-ROS']
38,angela7,['security-committee']
39,ba_a_ge,['Private']
40,baizhilaoda,['Private']
41,barrysong,['sig-WayCa']
42,biannm,"['TC', 'sig-CloudNative', 'sig-recycle']"
43,bingo2008,['Private']
44,bitcoffee,['sig-high-performance-network']
45,blackanger,['sig-Rust']
46,blublue,['sig-Migration']
47,blue0613,['sig-confidential-computing']
48,blueskycs2c,"['sig-Community', 'sig-industrial-control']"
49,byeX012,['Private']
50,bzhaoop,['DB']
51,caihaomin,"['sig-CloudNative', 'iSulad', 'Private', 'sig-golang']"
52,calvinyu,['sig-KubeSphere']
53,captainwei,['Private']
54,catastrowings,"['Runtime', 'System-tool', 'Private']"
55,cellfaint,"['TC', 'Virt', 'sig-recycle', 'sig-Rust']"
56,chaojiahuoshanga,['sig-REDF']
57,charlie_li,"['TC', 'sig-recycle', 'sig-QA']"
58,chen_daguan,['Private']
59,chen_ding_xiao,['Private']
60,chengquan,['Private']
61,chengzihan2,['Private']
62,chenholmes,['Private']
63,chenmaodong,['sig-confidential-computing']
64,chenmingmin,['A-Tune']
65,chenyanpanHW,['sig-EasyLife']
66,cherry530,['Private']
67,chixinze,['sig-ceph']
68,chxssg,['Private']
69,cmss_dx,['sig-ops']
70,compile_success,['Private']
71,crrs666,['oVirt']
72,cuibb1,['Private']
73,cygnus1985,['sig-REDF']
74,cynthia_xh,['sig-bootstrap']
75,daidai_is_here,['Private']
76,dan_zhao,['Private']
77,derekpush,['sig-AccLib']
78,dillon_chen,"['TC', 'DB', 'sig-recycle', 'xfce', 'GNOME']"
79,ding_yi_ming,['Private']
80,disnight,"['Private', 'sig-Gatekeeper']"
81,dogsheng,"['Infrastructure', 'Application', 'Programming-language', 'System-tool', 'sig-Gatekeeper']"
82,doraemon2020,['Private']
83,doramart,['sig-cms']
84,dou33,"['Desktop', 'sig-UKUI', 'sig-OKD', 'sig-KDE']"
85,doudou19,['sig-KIRAN-DESKTOP']
86,dream0819,['sig-bootstrap']
87,duan_tao_tao,['Private']
88,duguhaotian,['iSulad']
89,duyyb,['Private']
90,dwl301,"['Desktop', 'xfce', 'GNOME']"
91,eastb233,['Compiler']
92,emily_liuliu,['Private']
93,eric14chan,"['Programming-language', 'Runtime', 'System-tool']"
94,ethan848,['dev-utils']
95,ew314,['sig-bio']
96,fcwicky,['dev-utils']
97,fei_wangl,['Private']
98,feynmanzhou,['sig-KubeSphere']
99,fly_fzc,['Private']
100,forrest_ly,['dev-utils']
101,freesky-edward,['Infrastructure']
102,fu_changjie,['sig-OpenResty']
